ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
18967;IP;45.8193190;13.4762330;;;Schiavini Giorgio & Roberto S.N.C.;Gasolio;1.969;SelfService;07/06/2022 15:32:17;08
19082;Erg;46.1324621;12.8687331;;;Zanet Marietto & C. S.N.C.;Gasolio;1.569;SelfService;27/09/2021 08:49:50;06
19082;Erg;46.1324621;12.8687331;;;Zanet Marietto & C. S.N.C.;Gasolio;1.949;Servito;27/09/2021 08:49:50;08
19094;Esso;46.0741675;13.2042946;;;Grattoni Nicola & C. S.A.S.;Gasolio;1.909;SelfService;09/06/2022 07:38:20;07
19502;Agip;46.0380017;12.6143167;;;Gi.Mi S.N.C. di Dall'Acqua Giancarlo & C.;Gasolio;1.969;SelfService;07/06/2022 11:54:39;08
19502;Agip;46.0380017;12.6143167;;;Gi.Mi S.N.C. di Dall'Acqua Giancarlo & C.;Gasolio;2.189;Servito;07/06/2022 11:54:39;09
19577;Q8;45.4743543;12.0276266;;;Area di Servizio Q8 Due Bi Snc;Gasolio;1.966;SelfService;09/06/2022 06:18:33;08
19577;Q8;45.4743543;12.0276266;;;Area di Servizio Q8 Due Bi Snc;Gasolio;2.276;Servito;09/06/2022 06:18:33;09
19689;Agip;45.8054850;13.5091920;;;Bernardi di Bernardi G. & C. S.N.C.;Gasolio;1.944;SelfService;07/06/2022 09:43:06;08
19689;Agip;45.8054850;13.5091920;;;Bernardi di Bernardi G. & C. S.N.C.;Gasolio;2.162;Servito;07/06/2022 09:43:06;08
19841;;46.0906851;13.2145039;;;Mauro Andrea e Zuttion Catia S.N.C.;Gasolio;1.924;SelfService;09/06/2022 07:39:42;07
20117;IP;45.6561744;12.5353173;;;Ip Services S.R.L.;Gasolio;1.929;SelfService;09/06/2022 12:05:59;07
20182;IP;45.9791600;12.8011970;;;Sellan Pietro;Gasolio;1.929;Servito;10/06/2022 04:49:30;07
20423;ENI;45.3628794;12.0927940;;;Zoppellaro S.N.C. di Zoppellaro Vittorino & C.;Gasolio;1.929;SelfService;08/06/2022 10:54:08;07
20423;ENI;45.3628794;12.0927940;;;Zoppellaro S.N.C. di Zoppellaro Vittorino & C.;Gasolio;2.139;Servito;08/06/2022 10:54:08;08
20487;Api;46.2594462;13.1022099;;;Mi.Xo. di Xotto Michele;Gasolio;1.919;SelfService;07/06/2022 16:54:39;07
20487;Api;46.2594462;13.1022099;;;Mi.Xo. di Xotto Michele;Gasolio;2.119;Servito;07/06/2022 16:54:39;08
20739;Agip;45.9418170;12.6176260;;;Agip Alla Crose - Rotundo Giorgio;Gasolio;1.939;SelfService;09/06/2022 08:02:03;08
20768;;45.1151094;12.1881420;;;Paper di Botti Alberto & C. - Società in Nome Collettivo;Gasolio;1.899;Servito;03/06/2022 12:17:01;07
