23802;;45.8479490;13.2128620;;;Stazione di Servizio di Tavaris Stefano
30690;Q8;46.0969240;13.2886930;;;Duegi S.A.S. di Gattesco Luca e C.
52240;Agip;46.1539002;13.2912666;;;Carrozzeria La Motta di Pecile Maurizio
17626;Agip;46.0092430;13.2533310;;;Moschione Loris
40343;;46.0147418;13.2184125;;;Sarni S.R.L.
17483;IP;46.0015368;13.2066810;;;
40344;Sarni Oil;46.0157300;13.2190373;;;Sarni S.R.L.
49248;;46.0331350;13.3017180;;;Sachdeva Ashok
49018;IP;46.0586332;13.3828228;;;V & C Carburanti S.N.C.
7433;IP;46.1632922;13.2562847;;;Fioritto Luciano
5077;SM Petroli;46.0787940;13.3012190;;;Bieffe di Policella Roberto & C. S.N.C.
50781;Esso;46.3949900;13.2152760;;;01959 Esso - Resiutta
47037;IP;46.5489890;12.8543690;;;Geff S.R.L.
;IP;45.8803220;13.0478630;;;IP
15517;IP;45.8277200;13.4012111;;;Singh Gurdial
27646;Q8;45.8276793;13.2384890;;;Ylli Service S.N.C. di Hasramaj Ylli e C.
24846;Esso;45.9734988;13.3961129;;;B & T S.N.C. di Bonessi M. & C.
49277;Esso;45.9838539;13.4054733;;;Set Società a Responsabilità Limitata
25701;IP;45.9310661;13.2790458;;;Spangaro Stefano e C. S.A.S.
14643;Agip;46.0268256;12.9372198;;;Da Angela di Fabris Giacomino & C. - S.A.S.
22903;Tamoil;45.9973340;12.9681160;;;Porfido S.N.C. di Porfido Claudio & C.
52015;Agip;46.2060920;13.1883470;;;Astolfi Marco
39125;Agip;46.5062280;13.5652510;;;Collini Mauro
40572;Esso;46.5055053;13.5693900;;;Autostazione Rifornimenti S.N.C. di Del Ross Alberto & C.
50900;Esso;46.1046301;13.2294887;;;F.Lli Rinaldi S.N.C.di Matteo e Paolo Rinaldi
25044;SMP;46.1001642;13.2220638;;;San Marco Petroli Distribuzione S.R.L.
46396;Esso;46.4030844;13.0188014;;;Mb.Service di Mella Nicola e Bearzi Michele S.N.C.
39261;Esso;45.8286814;13.2809270;;;Gasoline S.A.S. di Maccagnan Gian Luca & C.
7000;TotalErg;46.1887850;13.1585310;;;Agrofriul S.R.L.
47009;IP;46.1500269;13.2200370;;;Virk Petrolio di Waseem Hayat
21028;Esso;46.1600694;13.2107919;;;Sostero fratelli S.N.C. di Sostero Marco & Massimo
10570;IP;46.5273540;13.1192850;;;Matiz Alberto
41312;Agip;46.2812707;13.0806717;;;Be.Oil di Fabbro Edoardo & C. S.A.S.
37480;;45.9036873;13.1818526;;;
18967;IP;45.8193190;13.4762330;;;Schiavini Giorgio & Roberto S.N.C.
6807;Total;45.9442569;12.8356969;;;Marinacci Renato
48516;Esso;45.7712330;13.6371781;;;
17950;Prealpi;45.9265430;12.5520090;;;Prealpi S.R.L.
22355;Q8;45.8942165;12.5564490;;;Servizi & Gestioni Italia S.R.L.
25383;Esso;46.0392210;12.8350780;;;Fratelli Cristofoli di Cristofoli Rinaldo & C. S.N.C.
9985;Esso;45.9529400;12.7946310;;;Forte Maurizio e Bozzetto Raul S.N.C.
20182;IP;45.9791600;12.8011970;;;Sellan Pietro
;IP;46.2848260;12.7958050;;;IP
6370;Api;46.0489079;12.6580690;;;Martinel Franco
22509;Agip;46.0339648;12.6764359;;;Z.M. Service Snc di Zanusso Alessandro e C.
38628;Esso;45.9814474;12.6457034;;;La Perla S.N.C. di Iqbal Farzana & C.
14191;IP;46.0961774;12.6807068;;;F.lli Corba S.A.S. di Corba Massimo e Stefano
13485;IP;45.9636840;12.4336910;;;Santin Aldo
22709;IP;46.1159020;12.8991611;;;Distributore Mamusa di Cominotto Giovanni e C. Snc
8688;Agip;46.0406755;12.5418313;;;Ema.Tom di Quaia Elio e C. S.A.S.
4763;Total;45.8940617;12.6958563;;;Carrozzeria Azzanese-Società in Nome Collettivo di Maggiolo e C
18565;Esso;45.8391640;12.7231614;;;Bressan Edi & Enzo S.N.C.
25021;;45.8501295;12.6276624;;;Populin Alfio Franco Massimo
22362;Agip;46.2171130;12.7843069;;;Autoservice di Sandra Zatti & C. S.N.C.
40287;Esso;46.1594723;12.7085605;;;F.lli Pontello Srl
36522;IP;46.0205310;12.6210810;;;Singh Sukhjinder
33588;IP;46.0101237;12.6246698;;;Ip Services S.R.L.
4789;Agip;46.0409362;12.5092207;;;Donadel Orfeo Valentino
30481;Eni;45.8418321;12.8124552;;;Som S.P.A.
37269;Esso;45.9380570;13.6027910;;;Lovisini Fulvio
47014;Esso;45.9341470;13.6035740;;;Geff S.R.L.
20739;Agip;45.9418170;12.6176260;;;Agip Alla Crose - Rotundo Giorgio
34562;IP;45.9557300;12.8141360;;;S.I.A. Engineering Construction S.R.L.
;Agip;45.9408850;12.5948490;;;Agip
24034;SMP;46.1596847;12.7079370;;;San Marco Petroli Distribuzione S.R.L.
13109;Agip;45.8985020;12.5768410;;;Bertolo Mauro & C. S.N.C.
14504;Agip;46.0165010;12.5142850;;;Menegoz Alessandro
15502;IP;45.6959140;13.0688270;;;Aprilia Marittima 2000 S.p.A.
38392;Costantin;45.9841107;12.6434827;;;Commercio Petroli S.R.L.
36921;Distributore ESSO;46.2358745;13.0750952;;;Be.Oil di Fabbro Edoardo & C. S.A.S.
51155;IP;46.0970422;13.1974741;;;Virk Petrolio di Waseem Hayat
30039;OIL;45.8177495;13.4377002;;;Azzalini Mario & C. - S.A.S.
11607;Q8 Easy;45.8303280;13.5003754;;;
24264;Tamoil;45.9355997;13.6003351;;;Der-W di Rizzi Manuel
35273;;46.0296771;13.2843260;;;Auto Metano Udine di Rosso Cristian & C. S.A.S.
22912;;46.0819070;13.4240359;;;Fantini Giuseppe
;Api - nautico;45.6997821;13.1443096;;;
9342;Oil Italia;45.7512863;13.6690189;;;Viola Ettore
29654;KV;45.8795934;13.4653178;;;Vanello Eugenio & Figli S.P.A
28866;Eni;45.9019553;13.2576266;;;
10355;Eni Station;46.1092319;12.8885239;;;
19082;Erg;46.1324621;12.8687331;;;Zanet Marietto & C. S.N.C.
13037;;46.1153888;13.5053418;;;Terlicher Antonio & C. S.N.C.
18877;Eni;45.8017151;13.5494263;;;Bidut Roberto - Impianto Agip Monfalcone
35566;Esso;46.2405648;13.0933806;;;Esso - Via Lavio
13665;IP;46.3683142;13.0392150;;;Distributore Ip Billiani Lilia
35393;Costantin;45.9677192;12.6236270;;;Commercio Petroli S.R.L.
43804;;45.9430704;13.1004506;;;Kumar Sanjeev & Tirath Ram S.N.C.
29947;Esso;46.0517186;12.6031570;;;Omen di Costabile Enzo & C. S.A.S.
36989;IP;45.9770955;13.1983666;;;
5036;Termoveneta;45.9909894;12.6168842;;;Termoveneta S.R.L.
21544;Delle Vedove;45.9503343;12.6957369;;;Val.Gre.Ca. S.R.L.
9834;Esso;46.1606724;13.0032206;;;Fioretto Mario
36502;IP;46.0302138;13.1028162;;;
25563;;45.9623945;12.7679981;;;D'Ales Giovan Battista
26568;Oil Italia;46.3629018;13.1354547;;;Oil Italia S.R.L.
34054;Eni;45.8961524;13.4110052;;;
44945;Esso;45.9541103;13.3949501;;;Set Società a Responsabilità Limitata
44488;;46.0860227;13.3628876;;;Casella Lucia
10567;Agip;46.2125925;13.2127712;;;Astolfi Marco
50718;Esso;46.1441190;12.9788230;;;Geff S.R.L.
49322;Esso;46.0607119;13.3111516;;;Censani Fabrizio
13865;;46.1581040;13.2437564;;;Tiemme Service S.A.S. di Tribos Daniele Sebastiano & C.
34171;Sia Fuel;45.6794586;13.3967913;;;S.I.A. Engineering Construction S.R.L.
